Windows PowerShell
Copyright (C) Microsoft Corporation. All rights reserved.

Install the latest PowerShell for new features and improvements! https://aka.ms/PSWindows

PS C:\WINDOWS\system32> cd E:\batteryclaw
PS E:\batteryclaw> python simulator\train.py --steps 5000000
BatteryClaw — Train PPO Agent
==================================================
[1] Khoi tao 8 environments song song...
[2] Khoi tao PPO model...
[3] Train 5,000,000 steps...
    n_envs      = 8
    batch_size  = 512
    net_arch    = [256, 256]


  >>> Phase 1/4 | difficulty=1 | 600,000 steps
  Steps: 4,350,000 | FPS:  1177 | Mean reward:  348.12 | Elapsed: 3696s
  Steps: 4,375,000 | FPS:  1175 | Mean reward:  275.60 | Elapsed: 3724s
  Steps: 4,400,000 | FPS:  1174 | Mean reward:  310.55 | Elapsed: 3749s

  >>> Phase 4/4 | difficulty=4 | 600,000 steps
  Steps: 4,425,000 | FPS:  1171 | Mean reward:  278.68 | Elapsed: 3777s
  Steps: 4,450,000 | FPS:  1171 | Mean reward:  286.51 | Elapsed: 3799s
  Steps: 4,475,000 | FPS:  1169 | Mean reward:  280.94 | Elapsed: 3827s
  Steps: 4,500,000 | FPS:  1169 | Mean reward:  242.66 | Elapsed: 3849s
  Steps: 4,525,000 | FPS:  1167 | Mean reward:  246.56 | Elapsed: 3877s
  Steps: 4,550,000 | FPS:  1167 | Mean reward:  335.07 | Elapsed: 3898s
  Steps: 4,575,000 | FPS:  1165 | Mean reward:  257.72 | Elapsed: 3927s
  Steps: 4,600,000 | FPS:  1164 | Mean reward:  295.31 | Elapsed: 3951s
  Steps: 4,625,000 | FPS:  1162 | Mean reward:  243.82 | Elapsed: 3979s
  Steps: 4,650,000 | FPS:  1162 | Mean reward:  276.05 | Elapsed: 4001s
  Steps: 4,675,000 | FPS:  1160 | Mean reward:  277.14 | Elapsed: 4030s
  Steps: 4,700,000 | FPS:  1160 | Mean reward:  193.91 | Elapsed: 4051s
  Steps: 4,725,000 | FPS:  1158 | Mean reward:  194.82 | Elapsed: 4079s
  Steps: 4,750,000 | FPS:  1158 | Mean reward:  265.02 | Elapsed: 4101s
  Steps: 4,775,000 | FPS:  1156 | Mean reward:  199.90 | Elapsed: 4129s
  Steps: 4,800,000 | FPS:  1155 | Mean reward:  279.51 | Elapsed: 4155s
  Steps: 4,825,000 | FPS:  1153 | Mean reward:  224.94 | Elapsed: 4183s
  Steps: 4,850,000 | FPS:  1152 | Mean reward:  219.73 | Elapsed: 4211s
  Steps: 4,875,000 | FPS:  1152 | Mean reward:  256.97 | Elapsed: 4233s
  Steps: 4,900,000 | FPS:  1150 | Mean reward:  288.89 | Elapsed: 4261s
  Steps: 4,925,000 | FPS:  1150 | Mean reward:  213.31 | Elapsed: 4283s
  Steps: 4,950,000 | FPS:  1148 | Mean reward:  247.96 | Elapsed: 4311s
  Steps: 4,975,000 | FPS:  1148 | Mean reward:  329.93 | Elapsed: 4332s
  Steps: 5,000,000 | FPS:  1146 | Mean reward:  268.00 | Elapsed: 4363s
  Steps: 5,025,000 | FPS:  1146 | Mean reward:  317.48 | Elapsed: 4385s

Train xong! 4394s (1138 steps/sec)
Model luu tai: E:\batteryclaw\simulator\models\batteryclaw_ppo_final.zip
[best] Dung best model de export: E:\batteryclaw\simulator\models\best\best_model.zip

[4] Danh gia model (best)...
  Mean reward      : 233.35 +/- 479.07
  Mean battery end : 62.9%
  Mean lag total   : 58.21
  Best episode     : 1227.69
E:\batteryclaw\simulator\train.py:253: UserWarning: Exporting a model while it is in training mode. Please ensure that this is intended, as it may lead to different behavior during inference. Calling model.eval() before export is recommended.
  torch.onnx.export(
E:\batteryclaw\simulator\train.py:253: UserWarning: # 'dynamic_axes' is not recommended when dynamo=True, and may lead to 'torch._dynamo.exc.UserError: Constraints violated.' Supply the 'dynamic_shapes' argument instead if export is unsuccessful.
  torch.onnx.export(
W0607 02:29:53.713000 14152 site-packages\torch\onnx\_internal\exporter\_compat.py:133] Setting ONNX exporter to use operator set version 18 because the requested opset_version 17 is a lower version than we have implementations for. Automatic version conversion will be performed, which may not be successful at converting to the requested version. If version conversion is unsuccessful, the opset version of the exported model will be kept at 18. Please consider setting opset_version >=18 to leverage latest ONNX features
W0607 02:29:56.883000 14152 site-packages\torch\onnx\_internal\exporter\_registration.py:107] torchvision is not installed. Skipping torchvision::nms
W0607 02:29:56.883000 14152 site-packages\torch\onnx\_internal\exporter\_registration.py:107] torchvision is not installed. Skipping torchvision::roi_align
W0607 02:29:56.883000 14152 site-packages\torch\onnx\_internal\exporter\_registration.py:107] torchvision is not installed. Skipping torchvision::roi_pool
[torch.onnx] Obtain model graph for `PolicyWrapper([...]` with `torch.export.export(..., strict=False)`...
[torch.onnx] Obtain model graph for `PolicyWrapper([...]` with `torch.export.export(..., strict=False)`... ✅
[torch.onnx] Run decompositions...
C:\Users\ADMIN\AppData\Local\Programs\Python\Python310\lib\copyreg.py:101: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  return cls.__new__(cls, *args)
[torch.onnx] Run decompositions... ✅
[torch.onnx] Translate the graph into ONNX...
